Species ID,Taxon
26,Ovalipes ocellatus
1,Diopatra cuprea
2,Alitta succinea
3,Owenia fusiformis
4,Polychaeta
5,Polychaeta
6,Polychaeta
7,Arenaeus cribrarius
8,Calappa flammea
9,Achelous spinimanus
10,Callichirus major
11,Callinectes sapidus
12,Callinectes similis
13,Cancer irroratus
14,Cryptopodia angulata
15,Emerita talpoida
16,Euceramus praelongus
17,Latulambrus occidentalis
18,Hexapanopeus angustifrons
19,Inachus dorsettensis
20,Lachnopodus subacutus
21,Libinia dubia
22,Medaeops granulosus
23,Menippe sp
24,Menippe mercenaria
25,Menippe sp
27,Ovalipes stephensoni
28,Paguristes erythrops
29,Pagurus longicarpus
30,Pagurus pollicaris
31,Pagurus sp
32,Persephona mediterranea
33,Pilumnus sayi
34,Achelous gibbesii
35,Malacostracea
36,Malacostracea
37,Malacostracea
38,Malacostracea
39,Malacostracea
40,Malacostracea
41,Malacostracea
42,Glottidia pyramidata
43,Bryozoa
44,Leptogorgia virgulata
45,Medusozoa sp
46,Renilla reniformis
47,Malacostracea
48,Eurytellina angulosa
49,Astropecten articulatus
50,Luidia clathrata
51,Arbacia punctulata
52,Encope michelini
53,Lytechinus variegatus
54,Mellita quinquiesperforata
55,Littoraria irrorata
56,Moira atropos
57,Echinoidea
58,Echinoidea
59,Ophioderma brevispinum
60,Ophiophragmus wurdemani
61,Abra aequalis
62,Anadara transversa
63,Ameritella agilis
64,Ameritella versicolor
65,Anomia simplex
66,Argopecten irradians_concentricus
67,Caryocorbula contracta
68,Chama congregata
69,Chama pacifica
70,Chione elevata
71,Crassostrea virginica
72,Americardia media
73,Cumingia tellinoides
74,Dinocardium robustum
75,Divalinga quadrisulcata
76,Donax variabilis
77,Dosinia discus
78,Ensis leei
79,Eurytellina alternata
80,Ervilia concentrica
81,Fulvia laevigata
82,Geukensia demissa
83,Globivenus rigida
84,Lunarca  ovalis
85,Macrocallista nimbosa
86,Macoploma tenta
87,Mercenaria campechiensis
88,Modiolus americanus
89,Mulinia lateralis
90,Noetia ponderosa
91,Nucula proxima
92,Parvilucina crenella
93,Pitar morrhuanus
94,Pleuromeris tridentata
95,Semele purpurascens
96,Spisula solidissima
97,Tozeuma carolinense
98,Tagelus divisus
99,Tagelus plebeius
100,Chioneryx grus
101,Costoanachis avara
102,Berthellina quadridens
103,Ittibittium oryza
104,Busycon carica
105,Cancellaria reticulata
106,Costoanachis floridana
107,Crepidula convexa
108,Crepidula fornicata
109,Crepidula plana
110,Diodora cayenensis
111,Epitonium angulatum
112,Eupleura caudata
113,Cinctura  hunteria
114,Graptacme eborea
115,Tritia obsoleta
116,Tritia trivittata
117,Hastula cinerea
118,Melanella polita
119,Nassarius acutus
120,Phrontis vibex
121,Neverita duplicata
122,Niso sp
123,Oliva sayana
124,Olivella mutica
125,Polycera hummi
126,Prunum guttatum
127,Seila adamsii
128,Sinum perspectivum
129,Neoterebra dislocata
130,Urosalpinx cinerea
131,Gastropoda
132,Polyplocaphora
133,Polyplocaphora
134,Porifera
135,Dyspanopeus sayi
136,Cerithium atratum
137,Porifera
138,Porifera
139,Amphibalanus amphitrite
140,Cerithiopsis stephensae
141,Astyris lunata
142,Fenimorea moseri
143,Anadara brasiliana
144,Arca imbricata
145,Tucetona pectinata
146,Bostrycapulus aculeatus
147,Laevicardium pictum
148,Cyclinella tenuis
149,Serratina aequistriata
150,Glycymeris americana
151,Petricolaria pholadiformis
152,Raeta plicatella
153,Anatina anatina
154,Ameritella texana
155,Dallocardia muricata
156,Epitonium multistriatum
157,Polychaeta
158,Barnea truncata
159,Solenastrea bella
160,Polyplocaphora
161,Dosinia concentrica
162,Strigilla mirabilis
163,Vermicularia knorrii
164,Busycotypus canaliculatus
165,Cyrtopleura costata
166,Limulus polyphemus
167,Septastrea marylandica
168,Hepatus epheliticus
169,Atrina serrata
170,Gyroscala rupicola
171,Porifera
172,Porifera
173,Malacostracea
174,Penaeus sp
176,Porifera
177,Porifera
178,Tectonatica pusilla
179,Corbula dietziana
180,Malacostracea
181,Nuculana acuta
182,Malacostracea
183,Malacostracea
184,Bivalvia
185,Pandora trilineata
186,Bivalvia
187,Bivalvia
188,Epitonium dallianum
189,Acteocina canaliculata
190,Gastropoda
191,Gastropoda
192,Malacostracea
193,Malacostracea
194,Malacostracea
195,Tectonatica pusilla
196,Gastropoda
197,Gastropoda
198,Gastropoda
199,Malacostracea
200,Malacostracea
201,Bivalvia
202,Naticarius canrena
203,Cryoturris dorvillae
204,Simnialena uniplicata
205,Coronis scolopendra
206,Malacostracea
207,Clibanarius vittatus
208,Prunum apicinum
209,Chionopsis intapurpurea
210,Semele bellastriata
211,Arcinella cornuta
212,Gastropoda
213,Houbricka incisa
214,Atrina rigida
215,Comus platyaulax
216,Lyonsia hyalina
217,Plicatula gibbosa
218,Ostrea equestris
219,Malacostracea
220,Varicorbula limatula
221,Rubellatoma rubella
222,Diplodonta notata
223,Eulopia sagrinata
224,Lucinisca muricata
225,Caryocorbula swiftiana
226,Malacostracea 226
227,Asterias forbesi
228,Malacostracea
229,Bivalvia
230,Bivalvia
231,Astropecten duplicatus
232,Semicassis granulata
233,Tellinella listeri
234,Calliostoma euglyptum
235,Cassis madagascariensis
236,Calyptraea centralis
237,Yoldia limatula
238,Limaria pellucida
239,Gouldia cerina
240,Callucina keenae
241,Cymatoica orientalis
242,Cyclocardia borealis
243,Epitonium foliaceicosta
244,Uca pugilator
245,Costonopsis lafresnayi
246,Turbo castanea